BocaRaton,Clearwater,DaytonaBeach,Ft.Lauderdale,Ft.Myers,Ft.Pierce,Gainesville,Jacksonville,KeyWest,Kissimmee,LakeCity,Miami,Naples,NewSmyrnaBch,Okeechobee,Orlando,PanamaCity,Pensacola,St.Augustine,St.Petersburg,Sarasota,Tallahassee,Tampa,WestPalmBeach,WinterHaven
BocaRaton,0,240,212,17,142,79,295,300,193,176,336,39,121,198,86,192,519,613,266,226,201,427,218,26,180
Clearwater,240,0,160,249,125,167,129,197,395,96,167,267,159,158,154,106,327,421,186,19,55,235,22,214,69
DaytonaBeach,212,160,0,229,207,133,98,89,410,71,130,251,241,15,159,54,331,425,53,159,186,234,139,187,101
Ft.Lauderdale,17,249,229,0,133,97,312,317,177,193,353,22,105,215,103,209,536,630,281,234,202,444,234,43,197
Ft.Myers,142,125,207,133,0,123,230,285,270,141,271,141,34,205,90,153,448,541,251,110,71,356,123,124,106
Ft.Pierce,79,167,133,97,123,0,217,221,279,98,258,119,162,118,33,114,441,535,184,165,150,349,145,54,104
Gainesville,295,129,98,312,230,217,0,62,474,123,45,331,264,112,209,109,236,330,73,143,179,144,128,269,129
Jacksonville,300,197,89,317,285,221,69,0,493,152,60,345,319,104,239,134,260,354,39,209,240,163,190,274,180
KeyWest,193,395,410,177,270,279,474,493,0,355,514,155,236,391,265,371,698,792,461,379,344,606,387,219,351
Kissimmee,176,96,71,193,141,98,123,152,355,0,164,212,175,69,89,18,347,441,115,94,121,255,75,150,34
LakeCity,336,167,130,353,271,258,45,60,514,164,0,372,305,145,249,150,202,295,91,181,217,104,167,310,169
Miami,39,267,251,22,141,119,331,345,155,212,372,0,107,242,123,228,555,649,308,251,214,463,245,64,208
Naples,121,159,241,105,34,162,264,319,236,175,305,107,0,238,122,187,481,577,288,143,107,389,156,147,140
NewSmyrnaBch,198,158,15,215,205,118,112,104,391,69,145,236,238,0,151,51,346,440,67,156,183,249,136,172,98
Okeechobee,86,154,159,103,90,33,209,239,265,89,249,123,122,151,0,105,433,526,203,139,113,341,132,61,94
Orlando,192,106,54,209,153,114,109,134,371,18,150,228,187,51,108,0,334,428,98,105,132,242,85,166,47
PanamaCity,519,327,331,536,448,441,236,260,698,347,202,555,481,346,433,334,0,103,296,342,378,97,331,493,353
Pensacola,613,421,425,630,541,535,330,354,792,441,295,649,577,440,526,428,103,0,387,435,476,191,425,587,447
St.Augustine,266,186,53,283,251,184,74,39,461,115,91,308,288,67,203,96,293,387,0,198,228,195,179,238,144
St.Petersburg,226,19,159,234,110,165,143,209,379,94,181,251,143,156,139,105,342,435,198,0,39,250,20,200,68
Sarasota,201,55,186,203,71,150,179,240,344,121,217,214,107,183,113,132,378,471,225,39,0,286,53,174,89
Tallahassee,427,235,234,444,356,349,144,163,606,255,104,463,389,249,341,242,97,191,195,250,286,0,239,401,261
Tampa,218,22,139,234,123,145,128,190,387,75,167,245,156,136,132,85,331,425,179,20,53,239,0,192,48
WestPalmBeach,26,214,187,43,124,54,269,274,219,150,310,64,147,172,61,166,493,587,238,200,174,401,192,0,154
WinterHaven,180,69,101,197,106,104,129,180,351,34,326,208,140,98,94,47,353,447,144,68,89,261,48,154,0